Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1907,-.38,-.47,-.29,-.59,-.29,-.29,-.56,-.74,-.52,-.29,-.29,-.21,-.36,-1.19
1908,-.42,-.46,-.39,-.48,-.43,-.35,-.22,-.56,-.51,-.42,-.45,-.28,-.48,.68
1909,-.48,-.50,-.47,-.54,-.48,-.44,-.72,-.64,-.44,-.44,-.51,-.37,-.52,-.56
1910,-.43,-.45,-.42,-.42,-.49,-.38,-.60,-.26,-.49,-.49,-.49,-.33,-.45,.17
1911,-.44,-.42,-.45,-.43,-.42,-.48,-.27,-.44,-.47,-.41,-.42,-.43,-.52,.06
1912,-.36,-.47,-.24,-.60,-.17,-.36,-.51,-.81,-.50,-.26,-.08,-.36,-.29,-1.63
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.47,-.34,-.51,-.39,-.14,-.28,-.40,-1.03
1914,-.15,-.19,-.11,-.25,-.06,-.17,-.33,-.18,-.29,-.11,-.02,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.24,-.01,-.21,-.58,-.18,-.19,.00,-.02,-.14,-.23,-1.98
1916,-.36,-.42,-.31,-.38,-.44,-.22,-.50,-.56,-.24,-.48,-.41,-.22,-.17,-1.04
1917,-.46,-.57,-.36,-.50,-.62,-.18,-.80,-.51,-.43,-.67,-.58,-.22,-.09,.07
1918,-.30,-.39,-.20,-.41,-.33,-.13,-1.00,-.29,-.35,-.37,-.29,-.05,-.23,-.27
1919,-.28,-.35,-.20,-.44,-.20,-.22,-.68,-.58,-.30,-.21,-.18,-.14,-.32,.20
1920,-.27,-.30,-.24,-.26,-.25,-.32,-.01,-.22,-.35,-.36,-.13,-.19,-.48,-1.14
1921,-.19,-.11,-.26,.01,-.24,-.30,.00,.16,-.09,-.27,-.21,-.23,-.38,-.83
1922,-.28,-.27,-.30,-.24,-.32,-.27,-.27,-.41,-.14,-.31,-.33,-.24,-.28,-.27
1923,-.26,-.22,-.31,-.15,-.29,-.33,.21,-.16,-.26,-.31,-.28,-.26,-.41,-.54
1924,-.27,-.18,-.35,-.13,-.25,-.43,.54,-.26,-.23,-.25,-.25,-.39,-.45,-.52
1925,-.22,-.13,-.30,-.04,-.24,-.37,-.05,.17,-.19,-.26,-.21,-.24,-.55,-.85
1926,-.10,.02,-.21,.02,.02,-.40,.57,.15,-.22,.02,.03,-.34,-.45,-.63
1927,-.21,-.13,-.29,-.13,-.15,-.38,.03,-.23,-.13,-.13,-.17,-.30,-.45,-1.37
1928,-.20,-.10,-.29,-.08,-.14,-.39,.66,-.18,-.23,-.13,-.16,-.28,-.48,-2.12
1929,-.36,-.33,-.38,-.38,-.27,-.45,.12,-.62,-.38,-.25,-.28,-.42,-.44,-1.07
1930,-.15,.00,-.29,.04,-.09,-.42,.51,.04,-.11,-.07,-.12,-.32,-.46,-2.59
1931,-.09,.06,-.21,.01,.09,-.42,.57,-.05,-.14,.12,.06,-.42,-.40,-.41
1932,-.16,-.05,-.25,.03,-.15,-.34,.46,.19,-.21,-.17,-.14,-.20,-.53,-.98
1933,-.28,-.24,-.32,-.24,-.27,-.34,-.14,-.47,-.12,-.26,-.28,-.21,-.48,-1.14
1934,-.12,.01,-.25,.18,-.24,-.25,.90,.31,-.13,-.24,-.24,-.15,-.38,-.56
1935,-.19,-.08,-.30,-.05,-.17,-.37,.33,-.05,-.16,-.14,-.20,-.30,-.41,-1.71
1936,-.14,-.02,-.26,-.02,-.12,-.29,.41,.11,-.25,-.03,-.21,-.26,-.33,-.03
1937,-.02,.13,-.17,.20,-.05,-.22,1.23,.03,-.02,.02,-.11,-.19,-.25,.37
1938,.00,.17,-.18,.39,-.22,-.09,1.52,.39,.03,-.17,-.27,-.05,-.11,-.86
1939,-.02,.09,-.13,.23,-.12,-.12,.56,.29,.08,-.10,-.13,-.04,-.18,-1.60
1940,.13,.18,.09,.11,.28,-.06,.99,-.02,-.09,.28,.29,.03,-.20,-.05
1941,.19,.23,.17,.02,.49,-.05,.02,-.09,.09,.55,.43,.04,-.15,-.46
1942,.07,.13,.01,.13,.08,-.01,.72,-.06,.06,.12,.03,.06,-.05,-.89
1943,.09,.18,-.01,.38,-.08,.04,1.43,.28,.11,-.10,-.07,.07,.00,1.14
1944,.21,.27,.14,.38,.19,.05,1.18,.47,.09,.12,.26,.19,-.09,-.96
1945,.09,.11,.09,.11,.17,-.03,.65,-.02,.04,.11,.23,.04,.00,-1.80
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.02,-.07,-.22,-.24,-.19
1947,-.02,.08,-.13,.16,-.06,-.16,1.07,-.13,.04,-.03,-.09,-.19,-.08,-.23
1948,-.10,-.02,-.19,.13,-.18,-.24,.12,.32,.01,-.23,-.14,-.19,-.19,-1.40
1949,-.11,-.02,-.19,.11,-.19,-.22,.20,.17,.05,-.23,-.15,-.17,-.15,-1.99
1950,-.17,-.15,-.20,-.05,-.29,-.14,.18,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.04,-.18,.08,-.06,-.23,.07,.01,.12,.00,-.12,-.21,-.16,-.70
1952,.01,.06,-.03,.11,.01,-.09,.27,-.10,.19,-.01,.04,-.09,-.02,-.52
1953,.08,.24,-.07,.35,.07,-.18,1.03,.35,.14,.08,.07,-.07,-.24,-1.12
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.28,-.17,-.20,-.82
1955,-.14,-.09,-.20,.05,-.34,-.06,-.23,-.11,.23,-.29,-.38,-.16,-.08,1.21
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.48,-.09,-.29,-.37,-.13,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.06,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.21,-.15,-.18,.14,.12,.26,.15,-.08,-.08,-.56
1959,.03,.13,-.06,.16,.08,-.16,.49,.18,.04,.07,.08,-.03,-.26,-.39
1960,-.02,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.02,-.10,-.07,-.78
1961,.06,.09,.03,.19,-.03,.05,-.16,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.12,-.06,.24,-.05,-.07,.44,.31,.14,-.05,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.02
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.66,-.20,-.11,-.14,-.14,-.30,-.07,-.37
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,.00
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.12
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.31
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.07
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.15
1970,.03,-.04,.09,-.11,.06,.11,-.20,-.13,-.06,.06,.06,.11,.03,.35
1971,-.08,-.15,-.01,-.06,-.26,.13,-.08,.01,-.10,-.30,-.22,.03,.16,.48
1972,.01,-.18,.20,-.34,.17,.15,-.37,-.47,-.24,.06,.27,.16,-.02,.48
1973,.16,.09,.23,.11,.19,.18,.06,.27,.02,.08,.30,.21,.08,.34
1974,-.07,-.18,.03,-.14,-.20,.17,-.18,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.30
1976,-.10,-.21,.01,-.26,-.12,.09,-.07,-.32,-.28,-.13,-.10,.10,.22,-.22
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.21,.31,.28
1978,.07,.02,.11,-.03,.07,.15,-.16,.04,-.04,.10,.05,.20,.13,.03
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.09,.25,.27,.29,.33,-.21
1980,.26,.17,.34,.06,.30,.38,.26,.02,.02,.33,.28,.35,.37,.56
1981,.32,.37,.27,.48,.18,.36,1.10,.79,.09,.22,.14,.28,.38,.61
1982,.14,.06,.22,-.07,.27,.18,-.40,.10,-.08,.25,.28,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.25,.19,.69,-.06,.29,.57,.21,.41,.09
1984,.16,.04,.27,.02,.18,.26,.36,.08,-.13,.07,.29,.16,.32,.54
1985,.12,.00,.23,-.03,.09,.31,.39,-.26,-.01,.04,.13,.29,.44,.07
1986,.18,.14,.23,.11,.22,.20,.01,.28,.03,.18,.27,.25,.25,-.09
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.61,.32,.25,.01
1988,.39,.37,.40,.40,.37,.40,.59,.57,.24,.32,.42,.38,.20,.93
1989,.27,.27,.27,.41,.12,.34,.33,.69,.25,.07,.18,.36,.30,.37
1990,.45,.53,.37,.63,.37,.37,.58,.89,.49,.38,.36,.37,.37,.37
1991,.40,.41,.40,.47,.36,.40,.75,.66,.26,.32,.40,.31,.29,.99
1992,.22,.13,.31,.10,.28,.27,-.17,.44,-.03,.19,.36,.20,.33,.41
1993,.23,.19,.27,.13,.31,.22,.55,.30,-.11,.28,.35,.26,.39,-.28
1994,.31,.37,.26,.43,.30,.20,.34,.50,.42,.28,.33,.26,.23,-.03
1995,.44,.58,.31,.70,.42,.22,1.31,.99,.32,.40,.44,.29,.15,.14
1996,.33,.26,.40,.24,.31,.45,.77,.17,.11,.30,.32,.33,.28,1.31
1997,.47,.52,.41,.54,.51,.34,.77,.90,.23,.50,.52,.42,.36,.04
1998,.61,.71,.51,.78,.69,.32,.87,.94,.66,.59,.78,.39,.31,.13
1999,.38,.48,.28,.70,.20,.30,.40,.80,.74,.15,.24,.46,.19,.01
2000,.39,.50,.28,.70,.24,.29,.97,.80,.55,.20,.28,.41,.10,.27
2001,.53,.64,.43,.81,.41,.42,1.07,.86,.69,.40,.43,.58,.24,.26
2002,.63,.71,.54,.83,.59,.48,1.25,1.00,.59,.54,.63,.49,.31,.79
2003,.62,.75,.49,.84,.63,.36,1.50,.98,.54,.61,.66,.44,.24,.37
2004,.53,.66,.41,.73,.55,.32,.47,.95,.67,.56,.53,.48,.23,-.04
2005,.68,.86,.50,1.02,.61,.42,1.98,1.22,.57,.62,.61,.49,.18,.69
2006,.64,.82,.46,.99,.55,.40,1.74,1.06,.70,.57,.54,.51,.19,.44
2007,.66,.85,.47,1.12,.46,.47,2.07,1.32,.69,.45,.46,.50,.07,1.26
2008,.54,.68,.40,.92,.37,.40,1.53,1.08,.62,.34,.40,.52,.08,.64
2009,.65,.72,.59,.78,.67,.51,1.41,.60,.69,.65,.69,.60,.15,.98
2010,.72,.90,.54,1.03,.68,.48,2.23,.87,.74,.72,.63,.63,.20,.54
2011,.61,.74,.47,.99,.36,.56,2.33,.94,.58,.38,.34,.64,.19,1.09
2012,.65,.81,.48,1.04,.52,.43,2.16,.93,.74,.47,.56,.56,.20,.46
2013,.68,.80,.55,.95,.57,.54,1.54,1.04,.70,.58,.56,.62,.23,.86
2014,.75,.92,.57,1.08,.66,.53,2.05,1.14,.73,.69,.63,.72,.19,.56
2015,.89,1.18,.62,1.32,.95,.40,2.01,1.48,1.00,.98,.92,.74,.20,-.34
2016,1.01,1.31,.72,1.55,1.00,.49,3.25,1.44,1.07,.95,1.05,.67,.28,.37
2017,.92,1.18,.66,1.39,.80,.60,2.53,1.38,1.04,.86,.74,.76,.37,.53
2018,.85,1.04,.66,1.25,.67,.68,2.16,1.10,1.06,.73,.62,.79,.40,.93
2019,.97,1.21,.74,1.42,.89,.64,2.74,1.43,1.00,.90,.88,.73,.40,.80
2020,1.00,1.34,.66,1.67,.84,.56,2.87,1.81,1.19,.87,.81,.58,.39,.85
2021,.84,1.14,.55,1.43,.64,.53,2.07,1.36,1.27,.72,.57,.72,.33,.28
2022,.89,1.16,.62,1.52,.56,.70,2.35,1.50,1.27,.62,.49,.79,.40,1.07
2023,1.17,1.50,.85,1.78,1.06,.72,2.58,1.87,1.47,1.08,1.04,.90,.45,.63
